Angular velocity (rounds per second),Final fiber radius (m)
30.0,4.457586316988985e-06
60.0,2.2287931584944924e-06
90.0,1.485862105662995e-06
120.0,1.1143965792472462e-06
150.0,8.915172633977971e-07
180.0,7.429310528314975e-07
210.0,6.367980452841407e-07
240.0,5.571982896236231e-07
270.0,4.952873685543317e-07
300.0,4.4575863169889853e-07
330.0,4.052351197262714e-07
360.0,3.7146552641574876e-07
390.0,3.428912551529989e-07
420.0,3.1839902264207034e-07
450.0,2.9717242113259904e-07
480.0,2.7859914481181156e-07
510.0,2.622109598228815e-07
540.0,2.4764368427716584e-07
570.0,2.3460980615731503e-07
600.0,2.2287931584944927e-07
