Density (kg/m^3),Final fiber radius (m)
900.0,2.3256972088638187e-06
931.578947368421,2.266315164067719e-06
963.1578947368421,2.210354525875108e-06
994.7368421052631,2.157515385128711e-06
1026.3157894736842,2.1075325746701974e-06
1057.8947368421052,2.0601707242122964e-06
1089.4736842105262,2.0152201425036896e-06
1121.0526315789473,1.9724933689060833e-06
1152.6315789473683,1.9318222701458726e-06
1184.2105263157896,1.8930555837682346e-06
1215.7894736842104,1.8560568297110938e-06
1247.3684210526317,1.820702526885494e-06
1278.9473684210525,1.7868806637650722e-06
1310.5263157894738,1.7544893815408045e-06
1342.1052631578948,1.723435835977763e-06
1373.6842105263158,1.6936352101617452e-06
1405.2631578947369,1.6650098551814857e-06
1436.842105263158,1.6374885397130768e-06
1468.421052631579,1.6110057926543331e-06
1500.0,1.5855013255502874e-06
