Radius of the orifice (m),Final fiber radius (m)
0.0001,4.773066493016739e-08
0.00014736842105263158,7.033992726550983e-08
0.00019473684210526317,9.294918960085229e-08
0.00024210526315789473,1.1555845193619471e-07
0.00028947368421052634,1.3816771427153718e-07
0.0003368421052631579,1.6077697660687963e-07
0.00038421052631578946,1.8338623894222205e-07
0.0004315789473684211,2.0599550127756452e-07
0.00047894736842105264,2.2860476361290694e-07
0.0005263157894736842,2.512140259482494e-07
0.0005736842105263159,2.738232882835919e-07
0.0006210526315789474,2.9643255061893433e-07
0.000668421052631579,3.190418129542768e-07
0.0007157894736842105,3.4165107528961917e-07
0.0007631578947368422,3.642603376249616e-07
0.0008105263157894738,3.8686959996030407e-07
0.0008578947368421053,4.094788622956465e-07
0.0009052631578947369,4.3208812463098896e-07
0.0009526315789473685,4.546973869663314e-07
0.001,4.773066493016739e-07
