Radius of the reservoir (m),Final fiber radius (m)
0.01,1.430578089093364e-06
0.01473684210526316,1.5762049122405483e-06
0.019473684210526317,1.6899490052276497e-06
0.024210526315789474,1.784483870104733e-06
0.02894736842105263,1.8660094602336953e-06
0.03368421052631579,1.9380642133381527e-06
0.03842105263157895,2.0028751759292444e-06
0.04315789473684211,2.061942887759202e-06
0.04789473684210527,2.116330626557787e-06
0.052631578947368425,2.1668216628918822e-06
0.05736842105263158,2.214011096967764e-06
0.06210526315789474,2.2583625877829348e-06
0.0668421052631579,2.3002450195764906e-06
0.07157894736842106,2.339957103423249e-06
0.07631578947368421,2.3777444102062767e-06
0.08105263157894736,2.4138114831954155e-06
0.08578947368421053,2.4483306527553087e-06
0.09052631578947369,2.481448581508113e-06
0.09526315789473684,2.5132912111291223e-06
0.1,2.543967560287557e-06
